Date,Time,Temperature C, Temperature F,Humidity
01/30/25,03:39,21.0*C,21.0*F,69.8%
01/30/25,03:44,21.0*C,21.0*F,69.8%
01/30/25,03:49,20.9*C,20.9*F,69.6%
01/30/25,03:54,21.0*C,21.0*F,69.8%
01/30/25,03:59,20.9*C,20.9*F,69.6%
01/30/25,04:09,20.9*C,20.9*F,69.6%
01/30/25,04:14,20.9*C,20.9*F,69.6%
01/30/25,04:19,20.9*C,20.9*F,69.6%
01/30/25,04:24,20.9*C,20.9*F,69.6%
01/30/25,04:34,20.9*C,20.9*F,69.6%
01/30/25,04:39,20.9*C,20.9*F,69.6%
01/30/25,04:44,20.9*C,20.9*F,69.6%
01/30/25,04:49,20.9*C,20.9*F,69.6%
01/30/25,04:59,20.9*C,20.9*F,69.6%
01/30/25,05:09,20.9*C,20.9*F,69.6%
01/30/25,05:19,20.8*C,20.8*F,69.4%
01/30/25,05:24,20.8*C,20.8*F,69.4%
01/30/25,05:29,20.8*C,20.8*F,69.4%
01/30/25,05:34,20.8*C,20.8*F,69.4%
01/30/25,05:39,20.8*C,20.8*F,69.4%
01/30/25,05:44,20.8*C,20.8*F,69.4%
01/30/25,06:04,20.8*C,20.8*F,69.4%
01/30/25,06:14,20.8*C,20.8*F,69.4%
01/30/25,06:19,20.8*C,20.8*F,69.4%
01/30/25,06:24,20.8*C,20.8*F,69.4%
01/30/25,06:34,20.8*C,20.8*F,69.4%
01/30/25,06:39,20.8*C,20.8*F,69.4%
01/30/25,06:49,20.8*C,20.8*F,69.4%
01/30/25,06:54,20.8*C,20.8*F,69.4%
01/30/25,06:59,20.7*C,20.7*F,69.3%
01/30/25,07:09,20.7*C,20.7*F,69.3%
01/30/25,07:34,20.7*C,20.7*F,69.3%
01/30/25,07:39,20.7*C,20.7*F,69.3%
01/30/25,07:44,20.7*C,20.7*F,69.3%
01/30/25,07:49,20.7*C,20.7*F,69.3%
01/30/25,07:54,20.7*C,20.7*F,69.3%
01/30/25,08:04,20.7*C,20.7*F,69.3%
01/30/25,08:19,20.7*C,20.7*F,69.3%
01/30/25,08:24,20.7*C,20.7*F,69.3%
01/30/25,08:49,20.7*C,20.7*F,69.3%
01/30/25,08:54,20.7*C,20.7*F,69.3%
01/30/25,09:04,20.7*C,20.7*F,69.3%
01/30/25,09:24,20.7*C,20.7*F,69.3%
01/30/25,09:29,20.7*C,20.7*F,69.3%
01/30/25,09:34,20.7*C,20.7*F,69.3%
01/30/25,09:39,20.7*C,20.7*F,69.3%
01/30/25,09:44,20.7*C,20.7*F,69.3%
01/30/25,09:49,20.7*C,20.7*F,69.3%
01/30/25,09:54,20.7*C,20.7*F,69.3%
01/30/25,10:04,20.7*C,20.7*F,69.3%
01/30/25,10:09,20.7*C,20.7*F,69.3%
01/30/25,10:14,20.7*C,20.7*F,69.3%
01/30/25,10:19,20.7*C,20.7*F,69.3%
01/30/25,10:24,20.7*C,20.7*F,69.3%
01/30/25,10:34,20.7*C,20.7*F,69.3%
01/30/25,10:44,20.7*C,20.7*F,69.3%
01/30/25,10:59,20.7*C,20.7*F,69.3%
01/30/25,11:04,20.6*C,20.6*F,69.1%
01/30/25,11:09,20.6*C,20.6*F,69.1%
01/30/25,11:14,20.7*C,20.7*F,69.3%
01/30/25,11:19,20.7*C,20.7*F,69.3%
01/30/25,11:29,20.7*C,20.7*F,69.3%
01/30/25,11:39,20.7*C,20.7*F,69.3%
01/30/25,11:44,20.7*C,20.7*F,69.3%
01/30/25,11:54,20.7*C,20.7*F,69.3%
01/30/25,11:59,20.7*C,20.7*F,69.3%
01/30/25,12:04,20.7*C,20.7*F,69.3%
01/30/25,12:09,20.6*C,20.6*F,69.1%
01/30/25,12:14,20.6*C,20.6*F,69.1%
01/30/25,12:19,20.6*C,20.6*F,69.1%
01/30/25,12:24,20.6*C,20.6*F,69.1%
01/30/25,12:34,20.6*C,20.6*F,69.1%
01/30/25,12:44,20.6*C,20.6*F,69.1%
01/30/25,12:49,20.6*C,20.6*F,69.1%
01/30/25,12:54,20.6*C,20.6*F,69.1%
01/30/25,13:00,20.6*C,20.6*F,69.1%
01/30/25,13:05,20.6*C,20.6*F,69.1%
01/30/25,13:10,20.7*C,20.7*F,69.3%
01/30/25,13:20,20.7*C,20.7*F,69.3%
01/30/25,13:25,20.8*C,20.8*F,69.4%
01/30/25,13:30,21.0*C,21.0*F,69.8%
01/30/25,13:40,21.3*C,21.3*F,70.3%
01/30/25,13:55,21.7*C,21.7*F,71.1%
01/30/25,14:10,21.5*C,21.5*F,70.7%
01/30/25,14:25,21.9*C,21.9*F,71.4%
01/30/25,14:35,22.1*C,22.1*F,71.8%
01/30/25,14:40,22.1*C,22.1*F,71.8%
01/30/25,14:45,21.9*C,21.9*F,71.4%
01/30/25,15:00,22.0*C,22.0*F,71.6%
01/30/25,15:05,22.2*C,22.2*F,72.0%
01/30/25,15:10,22.3*C,22.3*F,72.1%
01/30/25,15:20,22.4*C,22.4*F,72.3%
01/30/25,15:25,22.3*C,22.3*F,72.1%
01/30/25,15:40,22.4*C,22.4*F,72.3%
01/30/25,15:45,22.5*C,22.5*F,72.5%
01/30/25,15:50,22.7*C,22.7*F,72.9%
01/30/25,15:55,23.0*C,23.0*F,73.4%
01/30/25,16:00,22.7*C,22.7*F,72.9%
01/30/25,16:10,21.1*C,21.1*F,70.0%
01/30/25,16:15,20.8*C,20.8*F,69.4%
01/30/25,16:30,21.9*C,21.9*F,71.4%
01/30/25,16:35,22.0*C,22.0*F,71.6%
01/30/25,16:40,22.0*C,22.0*F,71.6%
01/30/25,16:50,21.3*C,21.3*F,70.3%
01/30/25,16:55,21.5*C,21.5*F,70.7%
01/30/25,17:00,21.7*C,21.7*F,71.1%
01/30/25,17:05,21.6*C,21.6*F,70.9%
01/30/25,17:10,21.5*C,21.5*F,70.7%
01/30/25,17:20,21.8*C,21.8*F,71.2%
01/30/25,17:25,21.7*C,21.7*F,71.1%
01/30/25,17:40,21.5*C,21.5*F,70.7%
01/30/25,17:50,21.5*C,21.5*F,70.7%
01/30/25,17:55,21.7*C,21.7*F,71.1%
01/30/25,18:00,21.5*C,21.5*F,70.7%
01/30/25,18:15,21.7*C,21.7*F,71.1%
01/30/25,18:25,21.9*C,21.9*F,71.4%
01/30/25,18:30,22.0*C,22.0*F,71.6%
01/30/25,18:35,21.9*C,21.9*F,71.4%
01/30/25,18:40,21.9*C,21.9*F,71.4%
01/30/25,18:45,21.7*C,21.7*F,71.1%
01/30/25,18:50,21.3*C,21.3*F,70.3%
01/30/25,18:55,21.4*C,21.4*F,70.5%
01/30/25,19:00,21.6*C,21.6*F,70.9%
01/30/25,19:05,21.8*C,21.8*F,71.2%
01/30/25,19:10,21.9*C,21.9*F,71.4%
01/30/25,19:15,21.7*C,21.7*F,71.1%
01/30/25,19:30,21.8*C,21.8*F,71.2%
01/30/25,19:35,21.9*C,21.9*F,71.4%
01/30/25,19:40,22.0*C,22.0*F,71.6%
01/30/25,19:45,22.0*C,22.0*F,71.6%
01/30/25,20:00,21.6*C,21.6*F,70.9%
01/30/25,20:10,21.4*C,21.4*F,70.5%
01/30/25,20:20,21.7*C,21.7*F,71.1%
01/30/25,20:25,21.9*C,21.9*F,71.4%
01/30/25,20:40,22.0*C,22.0*F,71.6%
01/30/25,20:45,21.7*C,21.7*F,71.1%
01/30/25,20:50,21.4*C,21.4*F,70.5%
01/30/25,20:55,21.4*C,21.4*F,70.5%
01/30/25,21:00,21.6*C,21.6*F,70.9%
01/30/25,21:15,22.2*C,22.2*F,72.0%
01/30/25,21:20,22.3*C,22.3*F,72.1%
01/30/25,21:25,22.0*C,22.0*F,71.6%
01/30/25,21:30,21.7*C,21.7*F,71.1%
01/30/25,21:40,21.4*C,21.4*F,70.5%
01/30/25,21:50,21.8*C,21.8*F,71.2%
01/30/25,21:55,22.0*C,22.0*F,71.6%
01/30/25,22:00,22.2*C,22.2*F,72.0%
01/30/25,22:10,21.8*C,21.8*F,71.2%
01/30/25,22:20,21.4*C,21.4*F,70.5%
01/30/25,22:25,21.3*C,21.3*F,70.3%
01/30/25,22:30,21.5*C,21.5*F,70.7%
01/30/25,22:35,21.5*C,21.5*F,70.7%
01/30/25,22:40,21.7*C,21.7*F,71.1%
01/30/25,22:45,21.9*C,21.9*F,71.4%
01/30/25,22:50,21.9*C,21.9*F,71.4%
01/30/25,22:55,21.9*C,21.9*F,71.4%
01/30/25,23:00,21.9*C,21.9*F,71.4%
01/30/25,23:05,21.9*C,21.9*F,71.4%
01/30/25,23:10,21.9*C,21.9*F,71.4%
01/30/25,23:15,21.9*C,21.9*F,71.4%
01/30/25,23:25,21.8*C,21.8*F,71.2%
01/30/25,23:30,21.9*C,21.9*F,71.4%
01/30/25,23:45,21.7*C,21.7*F,71.1%
01/31/25,00:00,21.9*C,21.9*F,71.4%
01/31/25,00:05,21.8*C,21.8*F,71.2%
01/31/25,00:15,21.9*C,21.9*F,71.4%
01/31/25,00:20,22.0*C,22.0*F,71.6%
01/31/25,00:25,22.1*C,22.1*F,71.8%
01/31/25,00:30,21.7*C,21.7*F,71.1%
01/31/25,00:35,21.7*C,21.7*F,71.1%
01/31/25,00:40,21.9*C,21.9*F,71.4%
01/31/25,00:45,22.0*C,22.0*F,71.6%
01/31/25,01:00,22.0*C,22.0*F,71.6%
01/31/25,01:10,21.9*C,21.9*F,71.4%
01/31/25,01:15,21.7*C,21.7*F,71.1%
01/31/25,01:30,21.5*C,21.5*F,70.7%
01/31/25,01:40,21.5*C,21.5*F,70.7%
01/31/25,01:45,21.4*C,21.4*F,70.5%
01/31/25,01:55,21.4*C,21.4*F,70.5%
01/31/25,02:10,21.3*C,21.3*F,70.3%
01/31/25,02:20,21.3*C,21.3*F,70.3%
01/31/25,02:30,21.2*C,21.2*F,70.2%
01/31/25,02:35,21.2*C,21.2*F,70.2%
01/31/25,02:40,21.1*C,21.1*F,70.0%
01/31/25,02:45,21.1*C,21.1*F,70.0%
01/31/25,02:50,21.1*C,21.1*F,70.0%
01/31/25,03:05,21.1*C,21.1*F,70.0%
01/31/25,03:11,21.1*C,21.1*F,70.0%
01/31/25,03:16,21.0*C,21.0*F,69.8%
01/31/25,03:26,21.0*C,21.0*F,69.8%
01/31/25,03:36,21.0*C,21.0*F,69.8%
01/31/25,03:51,20.9*C,20.9*F,69.6%
01/31/25,03:56,20.9*C,20.9*F,69.6%
01/31/25,04:01,20.9*C,20.9*F,69.6%
01/31/25,04:11,20.9*C,20.9*F,69.6%
01/31/25,04:21,20.8*C,20.8*F,69.4%
01/31/25,04:31,20.8*C,20.8*F,69.4%
01/31/25,04:36,20.8*C,20.8*F,69.4%
01/31/25,04:41,20.8*C,20.8*F,69.4%
01/31/25,04:46,20.8*C,20.8*F,69.4%
01/31/25,04:51,20.8*C,20.8*F,69.4%
01/31/25,04:56,20.8*C,20.8*F,69.4%
01/31/25,05:01,20.7*C,20.7*F,69.3%
01/31/25,05:11,20.7*C,20.7*F,69.3%
01/31/25,05:16,20.7*C,20.7*F,69.3%
01/31/25,05:26,20.7*C,20.7*F,69.3%
01/31/25,05:31,20.7*C,20.7*F,69.3%
01/31/25,05:36,20.7*C,20.7*F,69.3%
01/31/25,06:01,20.6*C,20.6*F,69.1%
01/31/25,06:06,20.6*C,20.6*F,69.1%
01/31/25,06:11,20.6*C,20.6*F,69.1%
01/31/25,06:21,20.6*C,20.6*F,69.1%
01/31/25,06:26,20.6*C,20.6*F,69.1%
01/31/25,06:31,20.6*C,20.6*F,69.1%
01/31/25,06:36,20.6*C,20.6*F,69.1%
01/31/25,06:41,20.6*C,20.6*F,69.1%
01/31/25,06:56,20.6*C,20.6*F,69.1%
01/31/25,07:01,20.5*C,20.5*F,68.9%
01/31/25,07:06,20.5*C,20.5*F,68.9%
01/31/25,07:16,20.5*C,20.5*F,68.9%
01/31/25,07:21,20.5*C,20.5*F,68.9%
01/31/25,07:26,20.5*C,20.5*F,68.9%
01/31/25,07:31,20.5*C,20.5*F,68.9%
01/31/25,07:36,20.5*C,20.5*F,68.9%
01/31/25,07:41,20.5*C,20.5*F,68.9%
01/31/25,07:46,20.5*C,20.5*F,68.9%
01/31/25,07:51,20.5*C,20.5*F,68.9%
01/31/25,07:56,20.5*C,20.5*F,68.9%
01/31/25,08:01,20.5*C,20.5*F,68.9%
01/31/25,08:06,20.5*C,20.5*F,68.9%
01/31/25,08:11,20.5*C,20.5*F,68.9%
01/31/25,08:16,20.5*C,20.5*F,68.9%
01/31/25,08:21,20.5*C,20.5*F,68.9%
01/31/25,08:26,20.5*C,20.5*F,68.9%
01/31/25,08:36,20.5*C,20.5*F,68.9%
01/31/25,08:46,20.4*C,20.4*F,68.7%
01/31/25,08:51,20.4*C,20.4*F,68.7%
01/31/25,08:56,20.4*C,20.4*F,68.7%
01/31/25,09:01,20.4*C,20.4*F,68.7%
01/31/25,09:06,20.4*C,20.4*F,68.7%
01/31/25,09:11,20.4*C,20.4*F,68.7%
01/31/25,09:16,20.3*C,20.3*F,68.5%
01/31/25,09:21,20.3*C,20.3*F,68.5%
01/31/25,09:26,20.3*C,20.3*F,68.5%
01/31/25,09:36,20.3*C,20.3*F,68.5%
01/31/25,09:46,20.3*C,20.3*F,68.5%
01/31/25,09:51,20.3*C,20.3*F,68.5%
01/31/25,09:56,20.3*C,20.3*F,68.5%
01/31/25,10:11,20.3*C,20.3*F,68.5%
01/31/25,10:16,20.3*C,20.3*F,68.5%
01/31/25,10:21,20.3*C,20.3*F,68.5%
01/31/25,10:26,20.3*C,20.3*F,68.5%
01/31/25,10:31,20.3*C,20.3*F,68.5%
01/31/25,10:36,20.3*C,20.3*F,68.5%
01/31/25,10:41,20.3*C,20.3*F,68.5%
01/31/25,10:46,20.3*C,20.3*F,68.5%
01/31/25,10:51,20.3*C,20.3*F,68.5%
01/31/25,11:16,20.3*C,20.3*F,68.5%
01/31/25,11:21,20.3*C,20.3*F,68.5%
01/31/25,11:26,20.3*C,20.3*F,68.5%
01/31/25,11:31,20.3*C,20.3*F,68.5%
01/31/25,11:41,20.3*C,20.3*F,68.5%
01/31/25,11:46,20.2*C,20.2*F,68.4%
01/31/25,11:51,20.3*C,20.3*F,68.5%
01/31/25,11:56,20.2*C,20.2*F,68.4%
01/31/25,12:11,20.2*C,20.2*F,68.4%
01/31/25,12:16,20.2*C,20.2*F,68.4%
01/31/25,12:26,20.2*C,20.2*F,68.4%
01/31/25,12:31,20.2*C,20.2*F,68.4%
01/31/25,12:51,20.1*C,20.1*F,68.2%
01/31/25,13:01,20.1*C,20.1*F,68.2%
01/31/25,13:11,20.3*C,20.3*F,68.5%
01/31/25,13:36,20.8*C,20.8*F,69.4%
01/31/25,13:41,21.0*C,21.0*F,69.8%
01/31/25,13:46,21.1*C,21.1*F,70.0%
01/31/25,14:06,21.2*C,21.2*F,70.2%
01/31/25,14:21,21.5*C,21.5*F,70.7%
01/31/25,14:26,21.5*C,21.5*F,70.7%
01/31/25,14:31,21.7*C,21.7*F,71.1%
01/31/25,14:41,21.5*C,21.5*F,70.7%
01/31/25,14:51,21.6*C,21.6*F,70.9%
01/31/25,15:06,21.9*C,21.9*F,71.4%
01/31/25,15:16,22.0*C,22.0*F,71.6%
01/31/25,15:21,21.9*C,21.9*F,71.4%
01/31/25,15:26,22.0*C,22.0*F,71.6%
01/31/25,15:36,21.9*C,21.9*F,71.4%
01/31/25,15:41,22.1*C,22.1*F,71.8%
01/31/25,15:51,22.3*C,22.3*F,72.1%
01/31/25,16:06,23.0*C,23.0*F,73.4%
01/31/25,16:16,22.5*C,22.5*F,72.5%
01/31/25,16:21,22.4*C,22.4*F,72.3%
01/31/25,16:26,22.6*C,22.6*F,72.7%
01/31/25,16:31,22.7*C,22.7*F,72.9%
01/31/25,16:36,22.8*C,22.8*F,73.0%
01/31/25,16:46,22.2*C,22.2*F,72.0%
01/31/25,16:51,22.2*C,22.2*F,72.0%
01/31/25,17:01,21.9*C,21.9*F,71.4%
01/31/25,17:06,22.1*C,22.1*F,71.8%
01/31/25,17:11,22.5*C,22.5*F,72.5%
01/31/25,17:16,22.6*C,22.6*F,72.7%
01/31/25,17:21,22.2*C,22.2*F,72.0%
01/31/25,17:27,21.9*C,21.9*F,71.4%
01/31/25,17:32,21.9*C,21.9*F,71.4%
01/31/25,17:37,22.0*C,22.0*F,71.6%
01/31/25,17:47,22.0*C,22.0*F,71.6%
01/31/25,17:52,22.3*C,22.3*F,72.1%
01/31/25,17:57,22.6*C,22.6*F,72.7%
01/31/25,18:02,22.6*C,22.6*F,72.7%
01/31/25,18:07,22.2*C,22.2*F,72.0%
01/31/25,18:17,21.9*C,21.9*F,71.4%
01/31/25,18:27,21.7*C,21.7*F,71.1%
01/31/25,18:32,21.9*C,21.9*F,71.4%
01/31/25,18:37,21.9*C,21.9*F,71.4%
01/31/25,18:42,21.9*C,21.9*F,71.4%
01/31/25,18:52,21.9*C,21.9*F,71.4%
01/31/25,19:07,21.9*C,21.9*F,71.4%
01/31/25,19:12,21.9*C,21.9*F,71.4%
01/31/25,19:27,22.0*C,22.0*F,71.6%
